Code	Name	Date	Sensitivity	Hum type	Acari indet.	Adicella reducta	Agapetus ochripes	Agrypnia obsoleta	Agrypnia sp.	Ameletus inopinatus	Ameletus sp.	Amphinemura borealis	Amphinemura sp.	Amphinemura standfussi	Amphinemura sulcicollis	Anisoptera indet.	Antocha vitripennis	Apatania sp.	Athripsodes sp.	Baetidae indet.	Baetis fuscatus	Baetis muticus	Baetis niger	Baetis rhodani	Baetis subalpinus	Brachyptera risi	Caenis horaria	Capnia atra	Capnia pygmaea	Capnia sp.	Centroptilum luteolum	Ceraclea nigronervosa	Ceraclea sp.	Ceratopogonidae indet.	Chaetopteryx sp.	Chaetopteryx villosa	Chironomidae indet.	Coleoptera indet.	Collembola	Cordulegaster boltoni	Corixidae indet.	Crenobia alpina	Crunoecia irrorata	Crustacea indet.	Cyrnus flavidus	Cyrnus sp.	Cyrnus trimaculatus	Diptera indet.	Diura bicaudata	Diura nanseni	Enallagma cyathigerum	Ephemerella aurivillii	Ephemerella sp.	Glossiphonia complanata	Glossosoma intermedium	Glossosoma sp.	Glossosomatidae indet.	Glyphotaelius sp.	Gyraulus acronicus	Halesus radiatus	Halesus sp.	Helobdella stagnalis	Hemerodrominae indet.	Heptagenia sp.	Heptagenia sulphurea	Hirudinea indet.	Holocentropus dubius	Hydra sp.	Hydrophilidae indet.	Hydropsyche angustipennis	Hydropsyche pellicidula	Hydropsyche siltalai	Hydropsyche sp.	Hydroptila sp.	Hydroptilidae indet.	Isoperla difformis	Isoperla grammatica	Isoperla obscura	Isoperla sp.	Ithytrichia lamellaris	Kageronia fuscogrisea	Lepidostoma hirtum	Leptoceridae indet.	Leptophlebia marginata	Leptophlebia sp.	Leptophlebia vespertina	Leuctra digitata/fusca	Leuctra hippopus	Leuctra nigra	Leuctra sp.	Limnephilidae indet.	Limnephilus sp.	Lymnaea peregra	Lymnaea truncatula	Lype reducta	Micrasema gelidum	Micrasema sp.	Micropterna lateralis	Micropterna sequax	Molannodes tinctus	Mystacides azurea	Mystacides longicornis	Mystacides sp.	Nematoda indet.	Nemoura sp.	Nemouridae indet.	Nemurella pictetii	Neureclipsis bimaculata	Nigrobaetis niger	Notidobia ciliaris	Oecetis testacea	Oligochaeta indet.	Ostracoda indet.	Otomesostoma auditivum	Oxyethira sp.	Perlodidae indet.	Philopotamidae indet.	Philopotamus montanus	Pisidium sp.	Platambus maculatus	Plectrocnemia conspersa	Polycentropodidae indet.	Polycentropus flavomaculatus	Polycentropus irroratus	Polyphemus pediculus	Potamophylax cingulatus	Potamophylax latipennis	Potamophylax sp.	Protonemura meyeri	Radix balthica	Rhyacophila nubila	Sericostoma personatum	Sialis fuliginosa	Sialis lutaria	Simuliidae indet.	Siphlonurus sp.	Siphonoperla burmeisteri	Stenophylax permistus	Taeniopteryx nebulosa	Tinodes waeneri	Wormaldia sp.	Zygoptera indet.
NorGau01	Gaular st1	20.05.1989	1	1	13,0434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21,7391304	0	0	0	0	0	0	0	0	0	0	21,7391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,3478261	0	0	0	0	0	39,1304348	0	0	0	0	0	0	0
NorGau01	Gaular st1	21.10.1989	1	1	20,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52,5	0,5	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,5	0	0	0	0	0	16,5	0	0	0	0	0	0	0
NorGau01	Gaular st1	17.05.1990	1	1	24,40944878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,787401599	0	0	0	0	0	0	0	0	0	0	29,92125977	0	0	0	0	0	0	0	0	0	0	0,787401599	0	0,787401599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18,89763778	0	0	0	0	0	0	0	0,787401599	0	0	0	0	0	0	0	0	0,787401599	0	0	0	0	0	0	0	3,937007896	0	0	0	0	0	18,89763778	0	0	0	0	0	0	0
NorGau01	Gaular st1	30.10.1990	1	1	7,5376884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63,3165829	0	0	0	0	0	0	0	0	0	0	6,5326633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,5226131	0,5025126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5025126	0	0	0	0	0	17,0854271	0	0	0	0	0	0	0
NorGau01	Gaular st1	22.05.1991	1	1	10,20408159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,510204099	0	0	0	0	0	0	0	0	0	0	42,85714286	0	0	0	0	0	0	0	0	0	0	4,081632696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,122448994	1,530612198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34,69387757	0	0	0	0	0	0	0
NorGau01	Gaular st1	22.10.1991	1	1	9,0634441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81,8731118	0	0	0	0	0	0	0	0	0	0	0,3021148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,0422961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,7190332	0	0	0	0	0	0	0
NorGau01	Gaular st1	14.05.1992	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88,49557511	0	0	0	0	0	0	0	0	0	0	7,964601792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,769911498	0	0,884955799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,884955799	0	0	0	0	0	0	0
NorGau01	Gaular st1	28.10.1992	1	1	29,3478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13,0434783	0	0	0	0	0	0	0	0	0	0	15,2173913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15,2173913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27,173913	0	0	0	0	0	0	0
NorGau01	Gaular st1	08.06.1993	1	1	24,3902439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24,3902439	0	0	0	0	0	0	0	0	0	0	1,6260163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24,3902439	5,6910569	0	3,2520325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,8130081	0	0	0	0	0	15,4471545	0	0	0	0	0	0	0
NorGau01	Gaular st1	09.11.1993	1	1	7,0707071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22,2222222	0	0	0	0	0	0	0	0	0	0	3,030303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9,0909091	3,030303	0	0	0	0	0	0	6,0606061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49,4949495	0	0	0	0	0	0	0
